"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
22,"new",1,42.021,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,42.021
22,"medium",1,1.6,1,2,3,"old","Beach2.jpeg","Qu1_oldright.png","4",0,1,0,1.6
24,"new",1,2.876,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.876
24,"new",1,4.273,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,4.273
24,"high",1,1.485,4,2,4,"old","Icy3.jpg","Qu1_oldright.png","4",0,0,1,1.485
24,"high",1,4.621,2,3,1,"old","Savanna1.jpeg","Qu1_oldright.png","1",0,0,1,4.621
24,"high",4,5.845,1,3,2,"old","Savanna3.jpeg","Qu1_oldright.png","3",1,1,0,5.845
24,"medium",1,2.414,1,3,2,"old","Icy2.jpeg","Qu1_oldright.png","1",0,0,0,2.414
24,"low",1,5.601,1,3,1,"old","Savanna3.jpeg","Qu1_oldright.png","2",0,1,0,5.601
24,"new",1,3.375,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.375
24,"new",1,4.1,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,4.1
24,"low",4,7.112,1,2,3,"old","Desert2.jpeg","Qu1_oldright.png","4",1,1,0,7.112
24,"high",1,7.869,3,2,3,"old","Desert3.jpeg","Qu1_oldright.png","3",0,0,1,7.869
24,"medium",4,3.493,1,3,3,"old","Beach3.jpeg","Qu1_oldright.png","1",1,1,0,3.493
24,"high",1,4.463,3,1,3,"old","Beach1.jpeg","Qu1_oldright.png","1",0,1,0,4.463
24,"medium",1,3.59,1,4,2,"old","Savanna3.jpeg","Qu1_oldright.png","3",0,0,0,3.59
24,"medium",1,10.994,2,3,2,"old","Desert2.jpeg","Qu1_oldright.png","3",0,0,0,10.994
24,"new",1,5.817,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,5.817
24,"medium",1,2.378,3,2,4,"old","Icy1.jpeg","Qu1_oldright.png","2",0,0,0,2.378
24,"new",1,5.277,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,5.277
24,"new",1,3.431,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,3.431
24,"new",4,1.748,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.748
24,"high",1,2.039,2,1,2,"old","Savanna4.jpeg","Qu1_oldright.png","2",0,0,1,2.039
24,"new",4,4.831,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,4.831
24,"high",1,3.233,4,3,3,"old","Icy1.jpeg","Qu1_oldright.png","4",0,0,0,3.233
24,"low",4,7.431,3,3,2,"old","Beach3.jpeg","Qu1_oldright.png","2",1,1,1,7.431
24,"high",1,6.021,2,3,2,"old","Beach2.jpeg","Qu1_oldright.png","1",0,0,0,6.021
24,"new",1,2.058,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.058
24,"new",1,2.575,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.575
24,"low",4,1.297,3,4,4,"old","Beach1.jpeg","Qu1_oldright.png","3",1,0,0,1.297
24,"medium",4,10.384,1,1,1,"old","Savanna2.jpeg","Qu1_oldright.png","3",1,0,0,10.384
24,"medium",4,6.25,1,3,2,"old","Desert2.jpeg","Qu1_oldright.png","2",1,0,1,6.25
24,"new",1,2.27,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.27
24,"medium",4,1.7,2,2,1,"old","Icy3.jpg","Qu1_oldright.png","3",1,0,0,1.7
24,"low",1,1.442,3,4,3,"old","Icy1.jpeg","Qu1_oldright.png","4",0,0,0,1.442
24,"medium",1,6.195,3,3,4,"old","Beach4.jpeg","Qu1_oldright.png","4",0,0,1,6.195
24,"low",1,3.236,3,2,3,"old","Desert2.jpeg","Qu1_oldright.png","4",0,1,0,3.236
24,"low",4,6.362,4,2,4,"old","Desert3.jpeg","Qu1_oldright.png","1",1,0,0,6.362
24,"new",4,5.731,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,5.731
24,"new",1,1.916,2,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.916
24,"low",4,1.993,3,2,3,"old","Savanna1.jpeg","Qu1_oldright.png","4",1,0,0,1.993
24,"new",1,5.569,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,5.569
24,"high",1,2.569,1,1,3,"old","Savanna4.jpeg","Qu1_oldright.png","4",0,0,0,2.569
24,"new",4,4.401,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,4.401
24,"medium",1,1.435,2,2,4,"old","Savanna4.jpeg","Qu1_oldright.png","4",0,0,1,1.435
24,"low",1,3.336,2,2,3,"old","Beach4.jpeg","Qu1_oldright.png","2",0,0,0,3.336
