"pe","participant","conf","study","N","corrAns","sd","se","ci"
"lowPE","48","3","Experiment 2",7,0.857142857142857,0.377964473009227,0.142857142857143,0.349558835877853
"lowPE","48","4","Experiment 2",6,1,0,0,0
"lowPE","49","1","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","49","2","Experiment 2",8,0.75,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","49","3","Experiment 2",2,0,0,0,0
"lowPE","50","2","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"lowPE","50","3","Experiment 2",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"lowPE","50","4","Experiment 2",2,0,0,0,0
"lowPE","51","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","51","2","Experiment 2",8,0.25,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","51","3","Experiment 2",1,0,NA,NA,NA
"lowPE","51","4","Experiment 2",5,0.8,0.447213595499958,0.2,0.555289021039559
"lowPE","52","3","Experiment 2",3,0,0,0,0
"lowPE","52","4","Experiment 2",13,0,0,0,0
"lowPE","53","1","Experiment 2",2,1,0,0,0
"lowPE","53","2","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","53","4","Experiment 2",11,0.454545454545455,0.522232967867094,0.157459164324443,0.350840881632583
"lowPE","54","2","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
