"participant","pictures","pe","corrAns","corrAnsRT","conf","confRT","soundcorrAns","on","soundcorrAnsRT","category","trial","block","rt_out"
3264,"fruit_24.png","highPE",0,0.88862,3,0.401915,0,"old",0.470245,"fruit",47,1,0.88862
3264,"toy_15.png","highPE",0,0.621605,2,0.90383,1,"old",0.49965,"toy",48,1,0.621605
3264,"toy_24.png","lowPE",0,0.488675,1,0.35238,1,"old",1.16504,"toy",49,1,0.488675
3264,"toy_73.png","new",1,0.422945,1,0.33573,0,"new",NA,"toy",50,1,0.422945
3264,"house_24.png","medPE",0,0.4039,2,0.265865,1,"old",0.52005,"house",51,1,0.4039
3264,"toy_17.png","medPE",0,0.3854,2,0.317785,1,"old",0.42524,"toy",52,1,0.3854
3264,"toy_72.png","new",0,0.389395,1,0.284735,0,"new",NA,"toy",53,1,0.389395
3264,"toy_20.png","lowPE",0,0.504385,1,0.25119,1,"old",1.141055,"toy",54,1,0.504385
3264,"fruit_16.png","lowPE",1,0.659275,2,0.96756,0,"old",0.50118,"fruit",55,1,0.659275
3264,"house_73.png","new",0,0.354085,2,0.26759,0,"new",NA,"house",56,1,0.354085
3264,"house_22.png","medPE",0,0.44725,2,0.28525,0,"old",0.78479,"house",57,1,0.44725
3264,"animal_23.png","highPE",1,0.391115,1,0.46899,1,"old",0.451345,"animal",58,1,0.391115
3264,"house_72.png","new",1,0.6336,3,0.832285,0,"new",NA,"house",59,1,0.6336
3264,"animal_17.png","medPE",1,0.387905,2,0.333985,0,"old",0.549805,"animal",60,1,0.387905
3264,"toy_6.png","highPE",1,1.614465,1,0.581995,1,"old",1.201255,"toy",61,2,1.614465
3264,"toy_69.png","new",0,0.450635,3,2.29621,0,"new",NA,"toy",62,2,0.450635
3264,"fruit_68.png","new",1,0.453055,1,0.685505,0,"new",NA,"fruit",63,2,0.453055
3264,"house_69.png","new",1,0.47604,1,0.423555,0,"new",NA,"house",64,2,0.47604
3264,"toy_65.png","new",1,0.449585,1,0.33304,0,"new",NA,"toy",65,2,0.449585
3264,"fruit_67.png","new",1,0.530875,2,0.284695,0,"new",NA,"fruit",66,2,0.530875
3264,"toy_68.png","new",0,0.63005,2,0.417555,0,"new",NA,"toy",67,2,0.63005
3264,"animal_67.png","new",1,0.543245,1,0.36899,0,"new",NA,"animal",68,2,0.543245
3264,"animal_8.png","lowPE",1,0.933835,3,0.217535,1,"old",0.709665,"animal",69,2,0.933835
3264,"fruit_9.png","lowPE",0,0.658355,1,0.2998,0,"old",0.422765,"fruit",70,2,0.658355
3264,"animal_13.png","highPE",1,0.51666,3,0.656475,0,"old",0.46983,"animal",71,2,0.51666
3264,"toy_13.png","lowPE",0,0.40724,1,0.31536,1,"old",0.36868,"toy",72,2,0.40724
3264,"animal_66.png","new",1,0.44783,2,0.320485,0,"new",NA,"animal",73,2,0.44783
3264,"animal_14.png","highPE",0,0.452945,1,0.418525,1,"old",0.560035,"animal",74,2,0.452945
3264,"fruit_65.png","new",0,0.38874,2,0.33359,0,"new",NA,"fruit",75,2,0.38874
3264,"house_12.png","medPE",1,0.459555,3,0.917485,1,"old",0.40617,"house",76,2,0.459555
3264,"animal_5.png","medPE",1,0.389905,2,0.30432,1,"old",0.433915,"animal",77,2,0.389905
3264,"house_8.png","lowPE",1,0.43368,3,0.371175,1,"old",0.37147,"house",78,2,0.43368
3264,"fruit_14.png","highPE",0,0.69459,3,0.815235,0,"old",0.407275,"fruit",79,2,0.69459
3264,"animal_12.png","lowPE",1,0.46014,1,0.266775,0,"old",0.39945,"animal",80,2,0.46014
3264,"house_10.png","lowPE",0,0.83324,3,0.30274,1,"old",0.47281,"house",81,2,0.83324
3264,"house_9.png","lowPE",1,0.85906,3,1.583965,0,"old",0.49978,"house",82,2,0.85906
3264,"animal_7.png","medPE",0,0.35789,1,0.233425,1,"old",1.79796,"animal",83,2,0.35789
3264,"toy_10.png","lowPE",0,1.51943,3,1.038505,1,"old",1.475925,"toy",84,2,1.51943
3264,"fruit_11.png","medPE",0,1.35341,3,3.150475,0,"old",0.47648,"fruit",85,2,1.35341
3264,"animal_11.png","lowPE",0,1.582185,3,1.831575,0,"old",0.368125,"animal",86,2,1.582185
3264,"house_68.png","new",0,0.503745,2,0.519505,0,"new",NA,"house",87,2,0.503745
3264,"fruit_6.png","lowPE",0,0.408145,1,0.269165,1,"old",0.51701,"fruit",88,2,0.408145
3264,"house_7.png","lowPE",1,0.47358,2,0.289315,0,"old",0.48521,"house",89,2,0.47358
3264,"toy_66.png","new",1,0.449825,1,0.28293,0,"new",NA,"toy",90,2,0.449825
3264,"toy_7.png","medPE",1,0.74606,2,0.23269,0,"old",0.560555,"toy",91,2,0.74606
3264,"toy_9.png","medPE",1,0.537185,2,0.43358,0,"old",0.566155,"toy",92,2,0.537185
3264,"animal_10.png","lowPE",0,0.43857,1,0.266725,0,"old",0.48437,"animal",93,2,0.43857
3264,"toy_12.png","lowPE",0,0.696865,3,0.469375,1,"old",2.431865,"toy",94,2,0.696865
3264,"toy_11.png","lowPE",1,0.45445,3,1.61894,1,"old",0.91615,"toy",95,2,0.45445
3264,"house_65.png","new",1,0.59126,2,1.033445,0,"new",NA,"house",96,2,0.59126
3264,"fruit_13.png","highPE",1,0.491405,1,0.415905,1,"old",1.419675,"fruit",97,2,0.491405
3264,"fruit_8.png","lowPE",0,0.4707,2,1.46448,1,"old",0.406085,"fruit",98,2,0.4707
3264,"house_67.png","new",0,0.427255,2,0.335805,0,"new",NA,"house",99,2,0.427255
